"","SoC","Exp"
"678",17787.2068971535,50554.293595616
"679",16035.5072628439,53565.9476737858
"680",18373.2495227334,55159.4757059054
"681",16993.522398611,47923.7041758998
"682",18474.1497518593,49623.0817654798
"683",17221.098309183,49371.9062730773
"684",19156.7535968627,50820.5439317325
"685",18069.0864822993,49334.5998505714
"686",18053.617582018,49085.4278847502
"687",18905.8411691197,61855.4290771987
"688",17928.6841893235,51793.9783642329
"689",16167.0083523735,47494.7277495186
"690",18658.9513438131,57980.4275841374
"691",19245.2340106693,47892.1069202399
"692",17609.0845617268,49579.3024005395
"693",16731.6677493907,51963.2304021604
"694",19525.94360392,52453.9276431892
"695",19908.6190401811,57924.3657439353
"696",16055.6001999463,54198.5191899
"697",15576.2109773994,46024.8823416119
"698",18139.7789103187,53738.884648331
"699",19037.4137011955,54945.5995113136
"700",19323.4050777719,52911.500525328
"701",18068.7254630754,55078.7458749755
"702",18814.4047588171,53371.2215112443
"703",16512.7318242329,44355.4875287174
"704",19126.9661528942,54713.8648526121
"705",19443.3697580962,58358.8989997473
"706",17480.3822282746,44915.1319230248
"707",14875.8614612219,43967.3832498797
"708",18834.4985739792,56514.3992288414
"709",17955.6917698097,49065.6364948435
"710",17574.049552713,57601.156384675
"711",17742.4461088014,57932.6873117278
"712",17707.6465723804,51676.8945626451
"713",16475.9121018412,50488.3428205926
"714",18585.6517884971,49824.6218224366
"715",17135.6602616004,46819.3361754995
"716",17411.5470607998,53547.134038138
"717",17696.698113311,45908.729405562
"718",16335.4267229285,41123.0362614653
"719",17231.6102556853,47704.4278105725
"720",17242.7325845569,56066.6564239813
"721",16535.0687625078,44476.5710656976
"722",17154.8173034899,49803.5638390501
"723",17740.2388232629,51407.0951232593
"724",17148.9974065644,47427.9949257375
"725",17512.7616717539,55599.0070087444
"726",17994.380455598,47973.1162704873
"727",19269.7054640032,40908.5319900053
"728",17041.0227655678,46703.2762974345
"729",18562.9444143386,53437.8902289576
"730",15848.6210711137,51331.7986625726
"731",17270.5731829481,52498.3834147866
"732",14364.7182572237,42709.4551919029
"733",19503.9801300381,57080.3295052441
"734",18285.3364378152,45592.5977935582
"735",16304.0384224948,48043.4021794404
"736",17136.7413405647,53192.8513165534
"737",17759.898816952,56258.9570749254
"738",16744.3201542106,48224.7122161058
